EXTERNALIDENTIFIER,LONGDESCRIPTION,DEPTH,HEIGHT,WIDTH,MAXDIM,MINDIM,TRAILERCASEQUANTITY,WEIGHT,TCWEIGHT,PPA,MAPE,ITEMVELOCITY,UNITSPERLARGETOTE,UNITSPERSMALLTOTE,UNITSPERQUARTERTOTE,UNITSPERHALFTOTE,RECOMMENDED_PPA,NEED_TO_CHANGE
574165174,Zuru Pets Alive Boppi the Booty Shakin Llama   Walmart Exclusive,12.25,12.5,6.5,12.5,6.5,1,2.16,2.16,PICK_MODULE,132.25,31.49090909,5,3,1,1,MATRIX,Y
556319377,Tramontina 9 Piece Non stick Cookware Set  Red,12,9.5,13,13,9.5,2,8.63,17.26,OFFLINE_PICK,35.1,31.43636364,4,2,0,1,MATRIX,Y
572624663,Ryans World Combo Panda Airlines,16.75,6,11,16.75,6,2,2.93,5.86,PICK_MODULE,342.27,30.61818182,5,2,1,1,MATRIX,Y
554243693,Filtrete 20x20x1  Clean Living Dust Reduction HVAC Furnace Air Filter  300 MPR  1 Filter,19.7,0.7,19.7,19.7,0.7,4,0.04,0.16,PICK_MODULE,33.44,29.94545455,19,10,2,5,MATRIX,Y
576142096,Lenovo ideapad L340 Gaming 15.6  Laptop  Intel Core i5 9300H  NVIDIA GeForce GTX 1050  8GB Memory  256GB Solid State Drive  Windows 10   Black   81LK00F1US,21,3,13,21,3,1,6.97,6.97,PICK_MODULE,173.95,29.4,6,3,1,2,MATRIX,Y
568386169,LeapFrog Learning Friends 100 Words Book,11,2.5,12,12,2.5,4,3.01,12.04,PICK_MODULE,19.2,29.25454545,16,8,2,4,MATRIX,Y
571897035,Star Wars Force Link 2.0 Mission on Vandor,7.5,1.75,9.5,9.5,1.75,6,0.22,1.32,PICK_MODULE,289.31,28.96363636,42,21,5,11,MATRIX,Y
576450659,HP 14 Laptop  Intel 10th Gen Core i5 1035G1  8GB SDRAM  256GB SSD + 16GB Intel Optane memory  Natural Silver  14 dq1039wm,17.5,3,12,17.5,3,1,4.31,4.31,PALLET_FLOW_MODULE,101.18,28.58181818,8,4,1,2,MATRIX,Y
574216158,Hatchimals WOW  Llalacorn 32 Inch Tall Interactive Hatchimal with Re Hatchable Egg (Styles May Vary),13.75,8.5,8.5,13.75,8.5,1,2.46,2.46,PICK_MODULE,116.69,28.41818182,5,3,1,1,MATRIX,Y
565397253,SkinnyPop Popcorn  Skinny Pack  Original  6 bags  0.65 Oz each  Gluten Free Popcorn  Non GMO  No Artificial Ingredients  Healthy Snack,9.5,13.5,4.3,13.5,4.3,3,0.35,1.06,OFFLINE_PICK,39.35,28.2,10,5,1,2,MATRIX,Y
550299393,Mainstays 7 Piece Non Stick Cookware Set,19.5,6,11.75,19.5,6,2,7.27,14.55,PICK_MODULE,276.2,27.98181818,4,2,0,1,MATRIX,Y
562911538,Athletic Works Pressurized Tennis Balls  1 Can  3 Balls,3.25,8.5,3.25,8.5,3.25,12,0.5,6,PICK_MODULE,243.1,27.50909091,58,30,7,15,MATRIX,Y
575696186,(Pack of 2) COFFEE MATE The Original Powder Coffee Creamer 35.3 Oz. Canister   Non dairy  Lactose Free  Gluten Free Creamer,11.5,7,6,11.5,6,1,5.52,5.52,PICK_MODULE,35.24,27.45454545,11,6,1,3,MATRIX,Y
575172784,Great Value Ultra Strong Toilet Paper  18 Mega Rolls,11.5,14,9,14,9,1,4.01,4.01,PICK_MODULE,48.46,26.83636364,4,2,0,1,MATRIX,Y
575344150,Mainstays Fleece Plush Throw Blanket  50  x 60   Buffalo Plaid  2 Pack,12,5.5,10.5,12,5.5,6,2.06,12.33,PICK_MODULE,43.78,26.61818182,8,4,1,2,MATRIX,Y
551999415,Anchor Hocking Pint Glass Canning Jar Set  12Pk Regular Mouth,13.25,5.25,9.75,13.25,5.25,1,7.63,7.63,PICK_MODULE,311.67,26.47272727,8,4,1,2,MATRIX,Y
566530335,Fiskars 7  Student SoftGrip Scissors Turqoise/Blue,3.75,0.75,8.25,8.25,0.75,36,0.15,5.42,PICK_MODULE,1310.29,26.10909091,226,115,27,56,MATRIX,Y
576257338,Wonder Nation Girl s Quilted Bubble Jacket (Little Girls  Big Girls & Plus),23.75,1,17.5,23.75,1,12,1.1,13.22,PICK_MODULE,39.12,26.07272727,13,6,1,3,MATRIX,Y
